,dt_hour,PM25_ugm3_Mean,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,season_Autumn,season_Spring,season_Summer,season_Winter
70795,2015-11-10 5:00,10.57793103,-7.531672414,32.85086207,918.7758620999999,14.0,260,0,0,0,1
70796,2015-11-10 6:00,7.9529885060000005,-7.462741379,33.81017241,918.1206897,3.0,310,0,0,0,1
70797,2015-11-10 7:00,10.4391954,-7.431189655,34.55327586,917.5172413999999,4.0,360,0,0,0,1
70798,2015-11-10 8:00,13.08862069,-7.0635172410000004,34.48689655,917.0,14.0,320,0,0,0,1
70799,2015-11-10 9:00,7.059885057000001,-5.949017241,34.77017241,916.5,13.0,320,0,0,0,1
70800,2015-11-10 10:00,8.273678161,-5.9925,34.43948276,916.1379310000001,9.0,340,0,0,0,1
70801,2015-11-10 11:00,4.317126437,-5.764913793,34.34034483,916.0,15.0,340,0,0,0,1
70802,2015-11-10 12:00,5.852568966000001,-5.5506034479999995,34.26862069,916.9310345000001,14.0,360,0,0,0,1
70803,2015-11-10 13:00,1.7140574709999998,-5.104,34.31241379,917.0,15.0,340,0,0,0,1
70804,2015-11-10 14:00,1.886931034,-5.038948276,33.97982759,917.0,11.0,350,0,0,0,1
70805,2015-11-10 15:00,1.4545,-5.651982759,34.04431034,917.2931034,9.0,10,0,0,0,1
70806,2015-11-10 16:00,1.393683908,-5.311344828,33.98448276,918.0,8.0,350,0,0,0,1
70807,2015-11-10 17:00,1.1779717509999998,-6.082745762999999,34.15966102,918.8474576,4.0,360,0,0,0,1
70808,2015-11-10 18:00,5.573587571,-7.195440678,34.36440678,919.3220339,9.0,300,0,0,0,1
70809,2015-11-10 19:00,10.21948276,-7.376431033999999,32.2387931,920.0,7.0,290,0,0,0,1
70810,2015-11-10 20:00,10.13842105,-8.156877193,34.14175439,920.9473684000001,3.0,10,0,0,0,1
70811,2015-11-10 21:00,14.34446552,-7.891482759,32.62931034,921.0,9.0,320,0,0,0,1
70812,2015-11-10 22:00,17.133793100000002,-9.122155172000001,32.17672414,921.9655172,5.0,280,0,0,0,1
70813,2015-11-10 23:00,66.07068966,-10.59,30.586206899999997,922.4482759,7.0,260,0,0,0,1
70814,2015-11-11 0:00,17.50045977,-11.13068966,31.63068966,923.0,5.0,270,0,0,0,1
70815,2015-11-11 1:00,10.39143678,-11.52948276,32.48689655,923.0,3.0,210,0,0,0,1
70816,2015-11-11 2:00,8.944425287,-11.02448276,31.82465517,923.5344828,3.0,230,0,0,0,1
70817,2015-11-11 3:00,10.82471264,-10.31465517,31.55637931,924.0,6.0,260,0,0,0,1
70818,2015-11-11 4:00,23.35252874,-11.78362069,31.54913793,924.3448276,4.0,250,0,0,0,1
70819,2015-11-11 5:00,16.09045977,-11.68482759,31.57482759,925.0,4.0,240,0,0,0,1
70820,2015-11-11 6:00,10.17011494,-11.2812069,30.99275862,925.0,5.0,240,0,0,0,1
70821,2015-11-11 7:00,9.170574712999999,-11.22465517,31.385,925.8103447999999,2.0,360,0,0,0,1
70822,2015-11-11 8:00,10.69482759,-11.88275862,31.43689655,926.0,4.0,230,0,0,0,1
70823,2015-11-11 9:00,12.21114943,-11.85603448,31.54465517,926.8965517000001,5.0,210,0,0,0,1
70824,2015-11-11 10:00,12.74626437,-11.57310345,30.67672414,927.0,3.0,330,0,0,0,1
70825,2015-11-11 11:00,14.37350575,-10.47965517,31.90775862,927.3275861999999,4.0,180,0,0,0,1
70826,2015-11-11 12:00,15.21850575,-9.710258621,32.99448276,928.0,3.0,220,0,0,0,1
70827,2015-11-11 13:00,17.58850575,-3.840568966,29.88189655,928.0,3.0,360,0,0,0,1
70828,2015-11-11 14:00,8.559252874,-2.43062069,33.59655172,928.0,4.0,170,0,0,0,1
70829,2015-11-11 15:00,6.973045977000001,-3.692793103,32.62793103,928.0,5.0,140,0,0,0,1
70830,2015-11-11 16:00,8.77316092,-10.60784483,31.60224138,927.7758620999999,12.0,230,0,0,0,1
70831,2015-11-11 17:00,6.565689655,-9.687241379,31.606206899999997,927.0689654999999,27.0,170,0,0,0,1
70832,2015-11-11 18:00,3.6395229889999996,-9.435172414,32.71396552,927.0,25.0,180,0,0,0,1
70833,2015-11-11 19:00,3.7704080460000005,-9.699310345,33.26310345,926.2068966,28.0,170,0,0,0,1
70834,2015-11-11 20:00,7.688603447999999,-10.18413793,30.82637931,925.4827586000001,14.0,140,0,0,0,1
70835,2015-11-11 21:00,3.267206897,-9.332586207,32.58603448,924.5862069,35.0,170,0,0,0,1
70836,2015-11-11 22:00,2.182505747,-8.743965517000001,33.88775862,923.3448276,29.0,180,0,0,0,1
70837,2015-11-11 23:00,1.120212644,-7.637913792999999,31.67965517,922.1379310000001,31.0,180,0,0,0,1
70838,2015-11-12 0:00,0.9884942529999999,-7.385017241,34.31758621,921.1206897,36.0,170,0,0,0,1
70839,2015-11-12 1:00,1.078551724,-7.260327586,32.53206897,919.5862069,35.0,170,0,0,0,1
70840,2015-11-12 2:00,0.762448276,-6.747413793,33.69258621,918.0,28.0,180,0,0,0,1
70841,2015-11-12 3:00,0.7782528740000001,-6.461068966,34.23017241,916.3275861999999,20.0,170,0,0,0,1
70842,2015-11-12 4:00,0.9760747129999999,-6.1314655170000005,34.18965517,914.3793103,23.0,180,0,0,0,1
70843,2015-11-12 5:00,0.7064252870000001,-6.385793102999999,34.86775862,911.7931034,31.0,160,0,0,0,1
70844,2015-11-12 6:00,0.36639655200000004,-6.675189655,34.91241379,909.6551724,27.0,150,0,0,0,1
70845,2015-11-12 7:00,0.325178161,-6.645672414,34.74534483,907.7931034,25.0,170,0,0,0,1
70846,2015-11-12 8:00,0.472206897,-6.422965517000001,34.69982759,906.4827586000001,28.0,170,0,0,0,1
70847,2015-11-12 9:00,0.43725287399999996,-5.857603448,34.65810345,905.3965517000001,23.0,180,0,0,0,1
70848,2015-11-12 10:00,0.572298851,-5.523137931,34.86637931,905.0,22.0,180,0,0,0,1
70849,2015-11-12 11:00,0.6082068970000001,-4.519362069,34.6837931,904.1034482999999,23.0,160,0,0,0,1
70850,2015-11-12 12:00,0.38552873600000004,-3.1992586210000002,34.22103448,903.8793103,21.0,150,0,0,0,1
70851,2015-11-12 13:00,0.37021839100000004,-3.0695689660000003,34.11913793,903.0,23.0,170,0,0,0,1
70852,2015-11-12 14:00,0.66954023,-3.222844828,34.3937931,903.0,28.0,160,0,0,0,1
70853,2015-11-12 15:00,0.644172414,-2.6652413790000002,34.14672414,902.1896552000001,22.0,150,0,0,0,1
70854,2015-11-12 16:00,0.47367816100000004,-2.4586379309999997,34.24258621,902.0,18.0,180,0,0,0,1
70855,2015-11-12 17:00,0.559867816,-2.879741379,34.37913793,901.3448276,23.0,170,0,0,0,1
70856,2015-11-12 18:00,0.53783908,-3.314793103,34.59465517,901.0,21.0,180,0,0,0,1
70857,2015-11-12 19:00,0.9501954020000001,-3.073137931,34.37465517,901.0,18.0,170,0,0,0,1
70858,2015-11-12 20:00,1.34433908,-3.306758621,34.49879310000001,901.0,5.0,30,0,0,0,1
70859,2015-11-12 21:00,2.5458735630000002,-4.5935862069999995,34.35189655,901.3103447999999,10.0,350,0,0,0,1
70860,2015-11-12 22:00,2.4546944440000003,-5.559916667,34.27516667,902.0,14.0,350,0,0,0,1
70861,2015-11-12 23:00,1.9783333330000001,-6.769413792999999,34.28879310000001,902.6206897,15.0,340,0,0,0,1
70862,2015-11-13 0:00,2.423729885,-7.612189655,34.16362069,903.1896552000001,13.0,340,0,0,0,1
70863,2015-11-13 1:00,1.480867816,-8.171896552,33.68086207,904.0,15.0,340,0,0,0,1
70864,2015-11-13 2:00,1.110149425,-8.591896552,30.55586207,904.7931034,12.0,340,0,0,0,1
70865,2015-11-13 3:00,0.899425287,-8.849137931,32.73534483,905.4482759,18.0,350,0,0,0,1
70866,2015-11-13 4:00,1.035442529,-9.332586207,31.50862069,906.0,13.0,340,0,0,0,1
70867,2015-11-13 5:00,1.0914712640000002,-9.47137931,32.37637931,906.5172413999999,13.0,330,0,0,0,1
70868,2015-11-13 6:00,0.499022989,-9.951551724,33.20275862,907.0,10.0,350,0,0,0,1
70869,2015-11-13 7:00,0.883609195,-10.42551724,32.09482759,907.7068966,17.0,340,0,0,0,1
70870,2015-11-13 8:00,1.55562069,-10.39448276,30.42965517,908.0172413999999,16.0,350,0,0,0,1
70871,2015-11-13 9:00,1.3026551720000001,-10.46431034,30.78155172,909.0,13.0,360,0,0,0,1
70872,2015-11-13 10:00,1.394672414,-10.53775862,31.01293103,909.8965517000001,19.0,340,0,0,0,1
70873,2015-11-13 11:00,1.029701149,-10.49465517,29.673793100000005,910.5517241,18.0,350,0,0,0,1
70874,2015-11-13 12:00,2.769873563,-10.59086207,30.52896552,911.0689654999999,14.0,340,0,0,0,1
70875,2015-11-13 13:00,1.602988506,-10.86586207,32.0287931,912.0,20.0,350,0,0,0,1
70876,2015-11-13 14:00,1.285902299,-10.97051724,32.15948276,912.8793103,18.0,350,0,0,0,1
70877,2015-11-13 15:00,1.108718391,-11.05586207,31.43810345,913.0344828,17.0,350,0,0,0,1
70878,2015-11-13 16:00,1.193982759,-11.26258621,30.49,914.0,16.0,360,0,0,0,1
70879,2015-11-13 17:00,1.4975747130000001,-11.43931034,30.37465517,914.8448276,18.0,350,0,0,0,1
70880,2015-11-13 18:00,1.066574713,-11.73310345,30.35896552,915.2758620999999,17.0,350,0,0,0,1
70881,2015-11-13 19:00,1.261494253,-12.18775862,30.35224138,916.0344828,16.0,350,0,0,0,1
70882,2015-11-13 20:00,1.57033908,-12.29810345,29.70517241,917.0,14.0,350,0,0,0,1
70883,2015-11-13 21:00,1.311218391,-12.61137931,29.83793103,918.1206897,14.0,350,0,0,0,1
70884,2015-11-13 22:00,1.141752874,-12.83241379,28.38534483,919.1896552000001,17.0,350,0,0,0,1
70885,2015-11-13 23:00,1.144603448,-13.12810345,28.37051724,920.3793103,13.0,360,0,0,0,1
70886,2015-11-14 0:00,1.337178161,-13.53034483,28.12775862,921.3103447999999,16.0,350,0,0,0,1
70887,2015-11-14 1:00,1.760051724,-14.00017241,26.99844828,922.2241379000001,17.0,340,0,0,0,1
70888,2015-11-14 2:00,1.4817931030000002,-14.02655172,26.586206899999997,923.1034482999999,20.0,350,0,0,0,1
70889,2015-11-14 3:00,1.11733908,-14.35810345,26.09051724,924.1206897,17.0,350,0,0,0,1
70890,2015-11-14 4:00,1.269609195,-14.87103448,25.93224138,925.0,15.0,340,0,0,0,1
70891,2015-11-14 5:00,1.4298479530000001,-15.11491228,24.38438596,925.5789474,13.0,340,0,0,0,1
70892,2015-11-14 6:00,1.947293103,-15.47051724,23.39517241,926.0,14.0,330,0,0,0,1
70893,2015-11-14 7:00,1.22654023,-16.11086207,22.33224138,926.3965517000001,12.0,310,0,0,0,1
70894,2015-11-14 8:00,2.69154023,-16.45448276,21.97431034,927.0,11.0,310,0,0,0,1
70895,2015-11-14 9:00,5.013086207,-16.45086207,21.83758621,927.5172413999999,12.0,300,0,0,0,1
70896,2015-11-14 10:00,9.428448276000001,-16.25086207,21.32603448,928.0,10.0,310,0,0,0,1
70897,2015-11-14 11:00,6.695,-15.26465517,21.67672414,928.1896552000001,8.0,320,0,0,0,1
70898,2015-11-14 12:00,4.8306724139999995,-14.24,21.50396552,928.1724138000001,10.0,340,0,0,0,1
70899,2015-11-14 13:00,2.122028736,-13.97637931,22.49275862,928.0,12.0,310,0,0,0,1
70900,2015-11-14 14:00,3.967545977,-13.43172414,23.16103448,928.0,8.0,330,0,0,0,1
70901,2015-11-14 15:00,2.516718391,-13.99465517,23.17241379,928.0,9.0,320,0,0,0,1
70902,2015-11-14 16:00,3.919522989,-15.075,23.17362069,928.0,7.0,290,0,0,0,1
70903,2015-11-14 17:00,12.10258621,-15.75724138,23.23396552,928.0,7.0,290,0,0,0,1
70904,2015-11-14 18:00,13.57195402,-15.83827586,23.36931034,928.0,4.0,280,0,0,0,1
70905,2015-11-14 19:00,2.587057471,-15.62258621,24.0387931,928.0,2.0,360,0,0,0,1
70906,2015-11-14 20:00,13.61321839,-15.13137931,24.99293103,928.0,0.0,0,0,0,0,1
