,E Series Sensor Data,Linear Regression Prediction,Reference pm Measurement
229,3.81508046,2.719020482,2
230,3.146132184,2.294325067,2
231,3.34233908,2.408768737,1
232,3.74066092,2.610308573,4
233,3.726011494,2.618385394,3
234,2.843890805,2.058845667,1
235,2.727344828,2.027008647,2
236,2.11116092,1.634483832,2
237,3.283948276,2.359004018,4
238,5.988563218,3.975763057,3
239,6.940344828,4.55365573,3
240,6.313275862,4.205826854,2
241,3.598385057,2.554954213,1
242,3.227373563,2.312925014,1
243,2.971229885,2.196731175,1
244,2.590477011,1.967039989,3
245,3.19916092,2.318914606,3
246,8.566909605,5.551183776,8
247,17.85175141,11.22066943,10
248,13.52151724,8.588737729,8
249,24.92729885,15.52402933,17
250,0.999988506,1.019921707,0
251,1.960770115,1.595726385,2
252,4.656591954,3.23820461,3
253,2.426333333,1.892505338,1
254,2.524385057,1.957325131,2
255,2.960229885,2.228840419,3
256,3.933408046,2.82308669,4
257,2.35391954,1.873484825,3
258,2.703965517,2.089972472,2
259,3.252442529,2.418659906,2
260,3.850218391,2.767152022,4
261,5.999109195,4.106662731,5
262,6.04358046,4.13722659,4
263,5.607643678,3.872925291,5
264,4.032741379,2.919517922,2
265,3.163787356,2.365068871,2
266,2.127856322,1.768777887,2
267,1.38841954,1.331698137,3
268,1.727028736,1.505076317,2
269,1.506735632,1.406866815,0
270,1.451626437,1.345838031,1
271,1.88933908,1.639946077,1
272,2.379287356,1.943339679,1
273,2.506747126,2.030334376,3
274,1.841517241,1.594719887,2
275,1.299810345,1.272494813,1
276,2.066545977,1.77607948,0
277,2.550867816,2.075000199,0
278,1.758614943,1.589939082,1
279,2.804091954,2.198670707,2
280,2.402189655,1.99013388,2
281,3.780005747,2.830874822,3
282,5.581431034,3.92817637,8
283,4.090465517,3.028599472,6
284,3.336201149,2.572721714,3
285,4.222758621,3.119304319,2
286,4.105695402,3.050191905,2
287,2.425155172,2.037716072,3
288,7.737701149,5.268715959,6
289,2.449735632,2.040162719,3
290,3.516637931,2.692866604,0
291,4.559672414,3.318507649,0
292,2.715488506,2.24540088,1
293,2.565097701,2.149779042,0
294,2.748425287,2.215682523,1
295,5.095402299,3.676936766,4
296,11.92132184,7.826706757,6
297,14.55187135,9.39420214,8
298,11.10288136,7.316628773,8
299,9.501977401,6.336744106,6
300,3.636356322,2.825425819,1
301,2.466063218,2.115717306,1
302,1.434856322,1.450473465,2
303,2.179614943,1.906208399,0
304,1.481281609,1.446159527,0
305,1.425787356,1.406647887,0
306,1.585241379,1.496572407,0
307,1.726534483,1.686875719,1
308,1.422413793,1.374880546,0
309,1.300775862,1.344096423,0
310,1.489482759,1.451753365,0
311,1.452586207,1.387318758,1
312,1.324718391,1.352771718,1
313,1.481333333,1.449667962,0
314,1.856321839,1.640306688,0
315,1.329494253,1.359847419,0
316,1.259574713,1.353924044,0
317,0.901816092,1.081217037,0
318,0.870224138,1.177965203,0
319,1.113034483,1.2827707,0
320,14.22596552,9.200309038,11
321,0.886005747,1.079263602,6
322,0.784994253,1.007064778,0
323,0.508149425,0.825679895,0
324,0.672408046,1.000748111,2
325,0.749511494,0.965925999,2
326,0.680563218,1.017314782,2
327,0.535436782,0.908214145,0
328,0.568965517,0.924089321,1
329,0.500477011,0.875306589,1
330,1.135063218,1.254469307,1
331,0.643678161,0.859601753,0
332,0.633626437,0.934096305,0
333,0.699718391,0.978036425,0
334,0.184396552,0.639095418,0
335,0.242810345,0.558834716,0
336,0.049804598,0.526763692,0
337,0.073747126,0.532318724,0
338,0.185344828,0.550420872,0
339,0.343390805,0.630987524,0
340,0.223690058,0.577652451,0
341,0.120201149,0.525571166,0
342,0.35966092,0.632657512,1
343,0.590051724,0.729927118,0
344,1.096718391,1.076422115,0
345,1.000965517,1.017796147,1
346,0.679126437,0.784666016,1
347,0.352965517,0.578946168,0
348,1.062764368,0.952472577,2
349,0.740413793,0.815277126,3
350,0.347446328,0.663925831,2
351,0.439757062,0.665542606,0
352,1.08812069,1.03740618,0
353,1.119229885,1.126261615,1
354,1.251442529,1.20831654,1
355,1.592971264,1.46628805,0
356,0.964528736,1.092929167,2
357,1.008626437,1.092931658,1
358,0.985632184,1.10367709,1
359,1.159477011,1.220355071,2
360,1.068948276,1.166638834,0
361,1.794586207,1.612496253,0
362,3.460212644,2.678470767,2
363,4.980712644,3.564797296,2
364,6.59862069,4.573456925,4
365,5.247643678,3.764852139,5
366,13.13936782,8.550527096,6
367,4.307327586,3.242425665,4
368,1.347212644,1.462121629,0
369,2.201241379,1.967801868,2
370,3.425683908,2.739722327,5
371,3.226816092,2.595754743,4
372,1.90558046,1.821157855,1
373,2.800304598,2.342647354,0
374,5.321494253,3.894651708,1
375,5.536241379,3.996441572,5
376,6.00591954,4.316770613,4
377,11.35683908,7.541533223,8
378,74.53865497,45.91312499,33
379,38.35517241,23.93315165,23
380,70.03333333,43.18417598,38
381,48.16551724,29.88864773,29
382,32.54109195,20.40081796,20
383,37.52568966,23.41709717,15
384,31.43758621,19.68972694,19
385,20.68316092,13.17450171,11
386,13.50482759,8.791670182,7
387,11.12609195,7.330336713,7
