dt_hour,e_series_pm,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,wind_x,wind_y,season_Autumn,season_Spring,season_Summer,season_Winter,reference_pm
2015-11-10 8:00,13.08862069,-7.063517241,34.48689655,917,14,320,12.65187157,-5.994175993,0,0,0,1,9
2015-11-10 9:00,7.059885057,-5.949017241,34.77017241,916.5,13,320,11.74816646,-5.566020565,0,0,0,1,5
2015-11-10 10:00,8.273678161,-5.9925,34.43948276,916.137931,9,340,6.83701479,5.852796661,0,0,0,1,3
2015-11-10 11:00,4.317126437,-5.764913793,34.34034483,916,15,340,11.39502465,9.754661102,0,0,0,1,3
2015-11-10 12:00,5.852568966,-5.550603448,34.26862069,916.9310345,14,360,-3.971675281,13.42482013,0,0,0,1,7
2015-11-10 13:00,1.714057471,-5.104,34.31241379,917,15,340,11.39502465,9.754661102,0,0,0,1,6
2015-11-10 14:00,1.886931034,-5.038948276,33.97982759,917,11,350,-3.119966071,-10.54826108,0,0,0,1,3
2015-11-10 15:00,1.4545,-5.651982759,34.04431034,917.2931034,9,10,-7.551643762,-4.896189998,0,0,0,1,4
2015-11-10 16:00,1.393683908,-5.311344828,33.98448276,918,8,350,-2.269066233,-7.6714626,0,0,0,1,3
2015-11-10 17:00,1.177971751,-6.082745763,34.15966102,918.8474576,4,360,-1.134764366,3.835662894,0,0,0,1,1
2015-11-10 18:00,5.573587571,-7.195440678,34.36440678,919.3220339,9,300,-0.198869574,-8.997802559,0,0,0,1,9
2015-11-10 19:00,10.21948276,-7.376431034,32.2387931,920,7,290,3.937002487,5.787919437,0,0,0,1,8
2015-11-10 20:00,10.13842105,-8.156877193,34.14175439,920.9473684,3,10,-2.517214587,-1.632063333,0,0,0,1,9
2015-11-10 21:00,14.34446552,-7.891482759,32.62931034,921,9,320,8.133346008,-3.853398853,0,0,0,1,7
2015-11-10 22:00,17.1337931,-9.122155172,32.17672414,921.9655172,5,280,-4.608697899,-1.939047104,0,0,0,1,13
2015-11-10 23:00,66.07068966,-10.59,30.5862069,922.4482759,7,260,-5.1113591,4.782677927,0,0,0,1,23
2015-11-11 0:00,17.50045977,-11.13068966,31.63068966,923,5,270,4.921909753,-0.880229732,0,0,0,1,10
2015-11-11 1:00,10.39143678,-11.52948276,32.48689655,923,3,210,-2.65163242,1.403155555,0,0,0,1,6
2015-11-11 2:00,8.944425287,-11.02448276,31.82465517,923.5344828,3,230,-2.363087825,-1.848192612,0,0,0,1,6
2015-11-11 3:00,10.82471264,-10.31465517,31.55637931,924,6,260,-4.381164943,4.099438223,0,0,0,1,7
2015-11-11 4:00,23.35252874,-11.78362069,31.54913793,924.3448276,4,250,0.963953221,-3.882112078,0,0,0,1,11
2015-11-11 5:00,16.09045977,-11.68482759,31.57482759,925,4,240,1.303125222,3.78178062,0,0,0,1,10
2015-11-11 6:00,10.17011494,-11.2812069,30.99275862,925,5,240,1.628906528,4.727225775,0,0,0,1,8
2015-11-11 7:00,9.170574713,-11.22465517,31.385,925.8103448,2,360,-0.567382183,1.917831447,0,0,0,1,8
2015-11-11 8:00,10.69482759,-11.88275862,31.43689655,926,4,230,-3.150783767,-2.464256816,0,0,0,1,6
2015-11-11 9:00,12.21114943,-11.85603448,31.54465517,926.8965517,5,210,-4.419387366,2.338592592,0,0,0,1,9
2015-11-11 10:00,12.74626437,-11.57310345,30.67672414,927,3,330,-2.973596465,-0.397144888,0,0,0,1,9
2015-11-11 11:00,14.37350575,-10.47965517,31.90775862,927.3275862,4,180,-2.393840276,-3.204610543,0,0,0,1,10
2015-11-11 12:00,15.21850575,-9.710258621,32.99448276,928,3,220,2.988255513,0.265196137,0,0,0,1,14
2015-11-11 13:00,17.58850575,-3.840568966,29.88189655,928,3,360,-0.851073274,2.87674717,0,0,0,1,15
2015-11-11 14:00,8.559252874,-2.43062069,33.59655172,928,4,170,3.751979008,1.386597822,0,0,0,1,6
2015-11-11 15:00,6.973045977,-3.692793103,32.62793103,928,5,140,-0.98906787,4.901198297,0,0,0,1,6
2015-11-11 16:00,8.77316092,-10.60784483,31.60224138,927.7758621,12,230,-9.4523513,-7.392770449,0,0,0,1,8
2015-11-11 17:00,6.565689655,-9.687241379,31.6062069,927.0689655,27,170,25.32585831,9.359535298,0,0,0,1,11
2015-11-11 18:00,3.639522989,-9.435172414,32.71396552,927,25,180,-14.96150173,-20.02881589,0,0,0,1,6
2015-11-11 19:00,3.770408046,-9.699310345,33.26310345,926.2068966,28,170,26.26385306,9.706184754,0,0,0,1,3
2015-11-11 20:00,7.688603448,-10.18413793,30.82637931,925.4827586,14,140,-2.769390036,13.72335523,0,0,0,1,5
2015-11-11 21:00,3.267206897,-9.332586207,32.58603448,924.5862069,35,170,32.82981632,12.13273094,0,0,0,1,3
2015-11-11 22:00,2.182505747,-8.743965517,33.88775862,923.3448276,29,180,-17.355342,-23.23342644,0,0,0,1,0
2015-11-11 23:00,1.120212644,-7.637913793,31.67965517,922.137931,31,180,-18.55226214,-24.83573171,0,0,0,1,0
2015-11-12 0:00,0.988494253,-7.385017241,34.31758621,921.1206897,36,170,33.76781108,12.4793804,0,0,0,1,0
2015-11-12 1:00,1.078551724,-7.260327586,32.53206897,919.5862069,35,170,32.82981632,12.13273094,0,0,0,1,0
