Time,Relative_Humidity
2020-05-19 23:00:00,43.255
2020-05-20 00:00:00,44.824
2020-05-20 01:00:00,44.608
2020-05-20 02:00:00,45.677
2020-05-20 03:00:00,52.832
2020-05-20 04:00:00,58.739
2020-05-20 05:00:00,63.041
2020-05-20 06:00:00,59.397
2020-05-20 07:00:00,51.901
2020-05-20 08:00:00,46.267
2020-05-20 09:00:00,40.322
2020-05-20 10:00:00,37.595
2020-05-20 11:00:00,38.544
2020-05-20 12:00:00,39.116
2020-05-20 13:00:00,35.586
2020-05-20 14:00:00,33.287
2020-05-20 15:00:00,33.046
2020-05-20 16:00:00,31.818
2020-05-20 17:00:00,30.972
2020-05-20 18:00:00,30.359
2020-05-20 19:00:00,31.470
2020-05-20 20:00:00,34.215
2020-05-20 21:00:00,36.001
2020-05-20 22:00:00,37.988
2020-05-20 23:00:00,40.715
2020-05-21 00:00:00,45.926
2020-05-21 01:00:00,46.715
2020-05-21 02:00:00,52.752
2020-05-21 03:00:00,56.525
2020-05-21 04:00:00,60.281
2020-05-21 05:00:00,60.586
2020-05-21 06:00:00,56.542
2020-05-21 07:00:00,51.578
2020-05-21 08:00:00,43.164
2020-05-21 09:00:00,30.758
2020-05-21 10:00:00,27.801
2020-05-21 11:00:00,27.890
2020-05-21 12:00:00,28.321
2020-05-21 13:00:00,24.229
2020-05-21 14:00:00,23.652
2020-05-21 15:00:00,21.091
2020-05-21 16:00:00,19.260
2020-05-21 17:00:00,18.201
2020-05-21 18:00:00,18.943
2020-05-21 19:00:00,22.711
2020-05-21 20:00:00,20.175
2020-05-21 21:00:00,18.697
2020-05-21 22:00:00,22.060
2020-05-21 23:00:00,27.162
2020-05-22 00:00:00,31.386
2020-05-22 01:00:00,34.883
2020-05-22 02:00:00,38.963
2020-05-22 03:00:00,40.707
2020-05-22 04:00:00,43.770
2020-05-22 05:00:00,43.741
2020-05-22 06:00:00,43.161
2020-05-22 07:00:00,31.669
2020-05-22 08:00:00,31.431
2020-05-22 09:00:00,37.801
2020-05-22 10:00:00,37.124
2020-05-22 11:00:00,30.943
2020-05-22 12:00:00,30.666
2020-05-22 13:00:00,31.444
2020-05-22 14:00:00,32.805
2020-05-22 15:00:00,31.574
2020-05-22 16:00:00,31.912
2020-05-22 17:00:00,33.423
2020-05-22 18:00:00,37.719
2020-05-22 19:00:00,39.080
2020-05-22 20:00:00,42.891
2020-05-22 21:00:00,48.295
2020-05-22 22:00:00,54.352
2020-05-22 23:00:00,61.006
2020-05-23 00:00:00,63.551
2020-05-23 01:00:00,66.990
2020-05-23 02:00:00,70.061
2020-05-23 03:00:00,72.577
2020-05-23 04:00:00,73.290
2020-05-23 05:00:00,74.358
2020-05-23 06:00:00,73.287
2020-05-23 07:00:00,60.489
2020-05-23 08:00:00,50.350
2020-05-23 09:00:00,45.551
2020-05-23 10:00:00,45.347
2020-05-23 11:00:00,41.901
2020-05-23 12:00:00,37.435
2020-05-23 13:00:00,38.631
2020-05-23 14:00:00,45.385
2020-05-23 15:00:00,47.125
2020-05-23 16:00:00,47.496
2020-05-23 17:00:00,50.192
2020-05-23 18:00:00,52.014
2020-05-23 19:00:00,51.351
2020-05-23 20:00:00,57.948
2020-05-23 21:00:00,64.484
2020-05-23 22:00:00,68.874
2020-05-23 23:00:00,73.837
2020-05-24 00:00:00,74.269
2020-05-24 01:00:00,68.050
2020-05-24 02:00:00,57.418
2020-05-24 03:00:00,54.610
2020-05-24 04:00:00,61.138
2020-05-24 05:00:00,58.550
2020-05-24 06:00:00,54.850
2020-05-24 07:00:00,53.228
2020-05-24 08:00:00,58.251
2020-05-24 09:00:00,60.488
2020-05-24 10:00:00,64.482
2020-05-24 11:00:00,63.380
2020-05-24 12:00:00,58.627
2020-05-24 13:00:00,60.493
2020-05-24 14:00:00,63.401
2020-05-24 15:00:00,62.265
2020-05-24 16:00:00,62.057
2020-05-24 17:00:00,61.629
2020-05-24 18:00:00,62.039
2020-05-24 19:00:00,63.229
2020-05-24 20:00:00,67.796
2020-05-24 21:00:00,71.610
2020-05-24 22:00:00,71.164
2020-05-24 23:00:00,69.943
2020-05-25 00:00:00,80.574
2020-05-25 01:00:00,89.708
2020-05-25 02:00:00,93.172
2020-05-25 03:00:00,93.637
2020-05-25 04:00:00,92.808
2020-05-25 05:00:00,86.920
2020-05-25 06:00:00,85.852
2020-05-25 07:00:00,80.816
2020-05-25 08:00:00,68.931
2020-05-25 09:00:00,59.273
2020-05-25 10:00:00,54.071
2020-05-25 11:00:00,46.487
2020-05-25 12:00:00,42.430
2020-05-25 13:00:00,50.733
2020-05-25 14:00:00,49.851
2020-05-25 15:00:00,46.844
2020-05-25 16:00:00,48.262
2020-05-25 17:00:00,49.386
2020-05-25 18:00:00,50.791
2020-05-25 19:00:00,52.625
2020-05-25 20:00:00,64.710
2020-05-25 21:00:00,71.736
2020-05-25 22:00:00,75.933
2020-05-25 23:00:00,76.917
2020-05-26 00:00:00,80.321
2020-05-26 01:00:00,83.117
2020-05-26 02:00:00,84.853
2020-05-26 03:00:00,85.784
2020-05-26 04:00:00,85.232
2020-05-26 05:00:00,86.327
2020-05-26 06:00:00,84.879
2020-05-26 07:00:00,75.866
2020-05-26 08:00:00,66.910
2020-05-26 09:00:00,59.008
2020-05-26 10:00:00,53.779
2020-05-26 11:00:00,49.074
2020-05-26 12:00:00,47.169
2020-05-26 13:00:00,45.220
2020-05-26 14:00:00,43.816
2020-05-26 15:00:00,39.573
2020-05-26 16:00:00,38.827
2020-05-26 17:00:00,38.527
2020-05-26 18:00:00,43.984
2020-05-26 19:00:00,58.980
2020-05-26 20:00:00,63.737
2020-05-26 21:00:00,69.106
2020-05-26 22:00:00,72.853
2020-05-26 23:00:00,75.535
2020-05-27 00:00:00,78.092
2020-05-27 01:00:00,79.460
2020-05-27 02:00:00,80.206
2020-05-27 03:00:00,82.196
2020-05-27 04:00:00,83.412
2020-05-27 05:00:00,84.897
2020-05-27 06:00:00,80.381
2020-05-27 07:00:00,66.877
2020-05-27 08:00:00,51.209
2020-05-27 09:00:00,43.919
